2,6,18,5,5,3,1,1,2,4,10,4,4,5,1,1,0
3,3,11,11,2,1,1,1,4,1,5,10,1,0,1,1,0
2,2,6,9,1,1,1,2,1,1,3,8,1,1,0,1,0
1,4,7,6,1,1,0,2,1,2,5,6,1,0,0,1,0
1,3,7,9,3,1,1,1,0,2,10,9,3,1,0,1,0
1,1,3,8,2,1,0,0,0,1,2,8,2,0,0,0,0
1,2,5,5,1,1,0,0,0,1,6,3,1,0,0,0,0
1,1,6,7,2,1,0,1,0,1,6,7,1,1,0,1,0
0,2,4,7,2,1,1,1,0,2,3,4,2,1,0,0,0
0,1,3,6,1,0,0,0,0,1,2,5,1,0,0,0,0
1,1,8,7,1,1,0,0,0,1,9,5,1,1,0,0,0
0,1,4,4,1,1,0,1,0,1,3,2,1,1,0,0,0
0,1,4,4,1,1,0,0,0,1,2,3,1,0,1,0,0
1,2,6,7,2,1,0,0,1,2,3,5,1,1,0,0,0
0,1,5,7,1,1,0,0,0,1,5,6,1,0,0,0,0
0,1,3,7,2,1,1,1,0,1,2,8,1,0,0,1,0
0,2,4,4,1,1,0,0,0,1,3,3,0,0,0,0,0
0,1,4,8,1,1,0,1,0,0,2,9,1,0,0,0,0
1,1,5,7,2,1,0,0,1,1,4,7,1,0,0,0,0
0,0,3,3,1,0,1,0,0,0,2,2,1,0,0,0,0
0,1,2,3,1,1,0,0,0,1,1,2,0,0,0,0,0
1,1,6,4,1,0,0,0,0,1,4,5,0,0,0,0,0
1,1,4,3,1,1,1,0,0,1,2,3,1,0,0,0,0
1,1,5,8,1,1,1,0,0,1,3,8,0,0,0,0,0
1,1,2,2,1,1,1,0,0,0,2,2,1,1,1,0,0
1,1,4,4,1,0,1,0,0,2,2,3,1,0,0,0,0
0,1,3,5,0,1,1,0,0,1,3,4,0,0,0,0,0
1,2,4,4,2,1,0,1,1,1,3,3,1,0,0,1,0
0,1,5,4,1,0,0,0,0,0,3,4,1,0,0,0,0
1,2,6,7,1,1,1,1,0,1,5,6,1,0,0,0,0
1,2,6,5,1,1,1,0,0,1,4,4,1,1,1,0,0
0,2,4,5,1,1,0,0,0,2,2,4,1,0,0,0,0
1,0,2,4,0,1,0,1,0,0,2,3,1,0,0,0,0
0,2,5,3,1,1,0,0,0,0,3,2,1,0,0,0,0
1,1,3,3,1,0,1,0,0,1,2,3,1,0,0,1,0
1,1,4,3,1,1,0,0,0,1,4,2,0,0,0,0,0
0,1,3,5,1,1,1,1,0,1,2,4,1,0,0,0,0
0,1,4,4,0,0,0,0,0,1,3,4,0,0,0,0,0
1,1,2,1,0,0,1,0,1,1,2,1,0,0,0,0,0
0,2,3,4,1,0,0,1,0,1,3,2,0,0,0,0,0
1,1,3,3,1,1,1,0,0,1,2,2,0,1,0,0,0
0,1,4,3,1,1,0,0,0,1,3,2,0,0,0,0,0
1,1,3,4,1,0,1,0,1,1,3,3,1,0,0,0,0
0,2,2,3,1,1,1,0,0,2,2,2,0,0,0,0,0
1,1,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0
0,1,4,2,0,1,1,0,0,1,5,2,0,0,0,0,0
1,1,3,3,0,0,1,0,1,1,1,2,1,0,0,0,0
0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0
1,1,3,2,1,0,0,0,0,0,3,2,0,0,0,0,0
0,1,4,6,1,1,0,1,0,0,2,5,0,1,0,1,0
0,1,3,3,0,1,0,0,0,1,2,4,0,0,0,0,0
1,1,5,5,1,1,1,0,0,1,3,3,1,0,0,0,0
1,0,3,2,0,0,0,0,0,1,1,3,0,0,0,0,0
